Country Name,Country Code,Year,GDP Growth (%),Inflation (GDP Deflator) (%),Inflation (CPI) (%),Total Reserves (US$)
Argentina,ARG,2015,2.73115982828944,26.5799916024707,,25520565580.4894
Argentina,ARG,2016,-2.08032784377811,41.1193799882279,,38414518491.6132
Argentina,ARG,2017,2.81850297775918,26.0063792819079,,55314409205.2189
Argentina,ARG,2018,-2.61739646282038,42.0336689575031,34.2772237131003,66221501691.4418
Argentina,ARG,2019,-2.00086100285785,49.1955790596612,53.5483043492339,44880566052.3703
Argentina,ARG,2020,-9.9004848136464,40.0830878011993,42.0150947376509,39403734630.1228
Argentina,ARG,2021,10.4418119882506,53.8020877665554,48.4093786255199,39653498610.7828
Argentina,ARG,2022,6.02074537534855,68.9938267692314,72.430757531824,44795335171.5152
Argentina,ARG,2023,-1.85578803046339,136.742358437599,133.488935594175,23080560550.2946
Argentina,ARG,2024,-1.34293072157739,207.605241734472,219.883929014578,29559610350.7831
Argentina,ARG,2025,4.36733330217022,39.0888939191528,,40998763986.6338
Euro area,EMU,2015,2.14894477032594,1.12183851916816,-0.104633261008479,701552553007.993
Euro area,EMU,2016,1.80681433573471,0.607930583315365,0.148684907627373,741790800990.739
Euro area,EMU,2017,2.62315671239708,1.43936441864196,1.38145871407216,802685567836.537
Euro area,EMU,2018,1.78229304985051,1.85237145416053,1.70349794744479,822526232328.578
Euro area,EMU,2019,1.63208944796722,1.98558869883709,1.44565976888253,914226843967.921
Euro area,EMU,2020,-6.04374915754508,1.75745290166456,0.219064904841985,1077845989724.43
Euro area,EMU,2021,6.44349747359811,2.55611236501613,2.52692009066166,1196503656782.69
Euro area,EMU,2022,3.66468497532753,6.28541243425478,8.54686993188458,1185667028071.55
Euro area,EMU,2023,0.460070365687699,6.6911238945853,5.94643667725823,1267634549019.0
Euro area,EMU,2024,0.938707263867073,3.39369719128545,2.2564981433876,1449054959888.77
Euro area,EMU,2025,1.41107242318353,3.15472771366517,2.46705543774613,2106154642318.54
Germany,DEU,2015,1.66300602334775,1.74443989037543,0.514426137125456,173730930555.425
Germany,DEU,2016,2.22222216259371,1.25424485239203,0.491747008445174,184031339953.397
Germany,DEU,2017,2.797906720551,1.47661425586129,1.50949485109628,199983070123.869
Germany,DEU,2018,1.13569604599849,1.87085953898291,1.73216879766942,198027061675.403
Germany,DEU,2019,0.977734697038784,2.00929122727773,1.44565976888253,224027961016.415
Germany,DEU,2020,-4.13191443239947,1.75745290166456,0.144877925813982,268408603348.679
Germany,DEU,2021,3.90999994204108,2.69677840082888,3.06666666666673,295736219413.598
Germany,DEU,2022,1.8092581243061,6.41315910830296,6.87257438551097,293913690186.797
Germany,DEU,2023,-0.869647578573321,6.6911238945853,5.94643667725823,322699586274.527
Germany,DEU,2024,-0.495851897260366,3.1102774214087,2.2564981433876,377935141356.243
Germany,DEU,2025,0.239578342117881,3.00895267696031,2.17178770949721,572201958133.157
India,IND,2015,7.99625378567987,2.27958810853136,4.90697344127249,353319061013.224
India,IND,2016,8.25630550176662,3.23797495083078,4.94821634062134,361694321972.036
India,IND,2017,6.79538341902422,3.96925793347947,3.32817337461305,412613792019.924
India,IND,2018,6.45385134495295,3.88424027199079,3.93882646691643,399167159226.682
India,IND,2019,3.87143694070524,2.40551716106347,3.72950573539123,463469902152.507
India,IND,2020,-5.77772470687303,4.81485791893965,6.6234367762853,590227359928.896
India,IND,2021,9.68959249191741,8.35490771482719,5.13140747176364,638484779930.836
India,IND,2022,7.6093649776932,2.85360507817299,6.69903414079858,567298153917.14
India,IND,2023,7.210224629335,3.51112810294656,5.64914318907925,627792750126.715
India,IND,2024,7.09927893176518,2.46685658180814,4.95303550973661,643042560625.541
India,IND,2025,7.56666179284244,0.973566848768186,2.39884954182294,700073798240.701
Japan,JPN,2015,1.79997735783475,2.07231814786138,0.795279630579839,1233097790281.8
Japan,JPN,2016,0.704986495111257,0.585173227788843,-0.127258844489754,1216518779919.68
Japan,JPN,2017,1.62345062245441,0.0216801045433073,0.484199796126385,1264140980383.63
Japan,JPN,2018,0.834143845965585,-0.119228874726346,0.989094598021848,1270467038786.78
Japan,JPN,2019,-0.308496921143259,0.782576522359648,0.46877615938395,1322443255598.64
Japan,JPN,2020,-4.28327942675573,1.22953979029026,-0.024995834027731,1390808939303.36
Japan,JPN,2021,3.56419531474475,-0.0442460376247027,-0.233352779398264,1405748991418.92
Japan,JPN,2022,1.33164750653741,0.635554490955357,2.49770278172255,1227573263129.26
Japan,JPN,2023,0.720785304749811,4.56896444973532,3.26813365933163,1294636035263.82
Japan,JPN,2024,-0.240084236041696,3.20102026212403,2.73853681635241,1230666979042.45
Japan,JPN,2025,1.19311288444599,3.42232881601323,3.17253034260248,1371402218767.58
Sub-Saharan Africa,SSF,2015,2.93344601140815,2.9179750112496,3.47238752883652,
Sub-Saharan Africa,SSF,2016,1.31700355850863,4.59345286835512,5.30264297710325,
Sub-Saharan Africa,SSF,2017,2.5074548530006,4.79693226172806,5.18618655524149,
Sub-Saharan Africa,SSF,2018,2.79433082130898,3.93114366435561,3.91133439990729,
Sub-Saharan Africa,SSF,2019,2.54913933046186,2.59440803517133,2.867588034469,
Sub-Saharan Africa,SSF,2020,-3.29212615874913,4.34500597682549,3.39862928518853,
Sub-Saharan Africa,SSF,2021,3.58194129290288,5.63049185397639,4.43905481215002,
Sub-Saharan Africa,SSF,2022,4.03371066956886,8.35642901530513,9.45801281304023,
Sub-Saharan Africa,SSF,2023,2.71446691675897,5.2560838965511,6.69759990789845,
Sub-Saharan Africa,SSF,2024,3.6161279249573,5.74363111867964,4.30009584697999,
Sub-Saharan Africa,SSF,2025,4.13928145259649,4.11094707872399,3.40373458279055,
United States,USA,2015,2.94555045227337,0.928042796992059,0.118627135552451,383728497570.133
United States,USA,2016,1.81945147909089,0.950322474901654,1.26158320570536,405942428719.749
United States,USA,2017,2.45762230126449,1.79080328683713,2.13011000365961,451285263406.24
United States,USA,2018,2.96650506701943,2.29089027907557,2.44258329692817,449907088828.546
United States,USA,2019,2.58382533052225,1.65046566880433,1.81221007526021,516700583371.247
United States,USA,2020,-2.081375977796,1.34473574769002,1.23358439630629,628369715338.322
United States,USA,2021,6.15202247867526,4.56297282631857,4.69785886363742,716152260973.711
United States,USA,2022,2.52421385073222,7.11250293584871,8.00279982052121,706644215998.894
United States,USA,2023,2.93436322440155,3.70021403026367,4.11633838374488,773426187289.127
United States,USA,2024,2.79318715363841,2.48236925527792,2.94952520485207,910036546651.5
United States,USA,2025,2.16138195623856,2.80123581326433,,1385447111476.7
